Category,State/UT,2018,2019,2020
State,Andhra Pradesh,16438,17746,17089
State,Arunachal Pradesh,368,317,281
State,Assam,27687,30025,26352
State,Bihar,16920,18587,15359
State,Chhattisgarh,8587,7689,7385
State,Goa,362,329,219
State,Gujarat,8329,8799,8028
State,Haryana,14326,14683,13000
State,Himachal Pradesh,1633,1636,1614
State,Jharkhand,7083,8760,7630
State,Karnataka,13514,13828,12680
State,Kerala,10461,11462,10139
State,Madhya Pradesh,28942,27560,25640
State,Maharashtra,35497,37144,31954
State,Manipur,271,266,247
State,Meghalaya,571,558,568
State,Mizoram,249,170,172
State,Nagaland,75,43,39
State,Odisha,20274,23183,25489
State,Punjab,5302,5886,4838
State,Rajasthan,27866,41550,34535
State,Sikkim,172,125,140
State,Tamil Nadu,5822,5934,6630
State,Telangana,16027,18394,17791
State,Tripura,907,1070,874
State,Uttar Pradesh,59445,59853,49385
State,Uttarakhand,2817,2541,2846
State,West Bengal,30394,29859,36439
Union Territory,Andaman and Nicobar Islands,147,135,143
Union Territory,Chandigarh,442,515,301
Union Territory,Dadra & Nagar Haveli and Daman & Diu,54,82,61
Union Territory,Delhi,13640,13395,10093
Union Territory,Jammu & Kashmir,3437,3069,3405
Union Territory,Ladakh,0,0,9
Union Territory,Lakshadweep,11,38,15
Union Territory,Puducherry,166,95,113
