State/UT,2019,2020,2021,Category
Andhra Pradesh,17746,17089,17752,State
Arunachal Pradesh,317,281,366,State
Assam,30025,26352,29046,State
Bihar,18587,15359,17950,State
Chhattisgarh,7689,7385,7344,State
Goa,329,219,224,State
Gujarat,8799,8028,7348,State
Haryana,14683,13000,16658,State
Himachal Pradesh,1636,1614,1599,State
Jharkhand,8760,7630,8110,State
Karnataka,13828,12680,14468,State
Kerala,11462,10139,13539,State
Madhya Pradesh,27560,25640,30673,State
Maharashtra,37144,31954,39526,State
Manipur,266,247,302,State
Meghalaya,558,568,685,State
Mizoram,170,172,176,State
Nagaland,43,39,54,State
Odisha,23183,25489,31352,State
Punjab,5886,4838,5662,State
Rajasthan,41550,34535,40738,State
Sikkim,125,140,130,State
Tamil Nadu,5934,6630,8501,State
Telangana,18394,17791,20865,State
Tripura,1070,874,807,State
Uttar Pradesh,59853,49385,56083,State
Uttarakhand,2541,2846,3431,State
West Bengal,29859,36439,35884,State
Andaman and Nicobar Islands,135,143,169,Union Territory
Chandigarh,515,301,343,Union Territory
Dadra & Nagar Haveli and Daman & Diu,82,61,99,Union Territory
Delhi,13395,10093,14277,Union Territory
Jammu & Kashmir,3069,3405,3937,Union Territory
Ladakh,0,9,18,Union Territory
Lakshadweep,38,15,9,Union Territory
Puducherry,95,113,153,Union Territory
